Carico (N)	Deformazione (mm)	Sforzo (MPa)
245.13	192.98	16.537
245.16	193.40	16.539
245.19	193.82	16.541
245.74	194.24	16.578
245.94	194.66	16.592
246.97	195.08	16.661
247.38	195.50	16.689
247.98	195.92	16.729
248.86	196.33	16.789
249.88	196.75	16.858
250.01	197.17	16.867
251.33	197.59	16.956
252.00	198.01	17.001
252.10	198.43	17.008
252.65	198.85	17.044
253.75	199.27	17.119
254.22	199.69	17.150
254.02	200.11	17.137
255.42	200.52	17.231
255.74	200.94	17.253
256.19	201.36	17.283
256.46	201.78	17.302
256.78	202.20	17.323
257.34	202.62	17.361
257.95	203.04	17.402
258.88	203.46	17.465
259.06	203.88	17.477
259.07	204.30	17.478
259.48	204.72	17.505
260.37	205.13	17.565
260.41	205.55	17.568
260.79	205.97	17.593
261.56	206.39	17.646
263.27	206.81	17.761
263.86	207.23	17.801
263.25	207.65	17.760
263.64	208.07	17.786
264.27	208.49	17.828
264.90	208.91	17.871
266.87	209.33	18.004
267.76	209.74	18.064
267.27	210.16	18.031
267.59	210.58	18.052
268.36	211.00	18.104
268.55	211.42	18.117
268.79	211.84	18.134
269.70	212.26	18.195
270.07	212.68	18.220
270.66	213.10	18.259
271.28	213.52	18.302
271.73	213.94	18.332
272.20	214.36	18.363
272.77	214.78	18.402
273.19	215.19	18.430
273.58	215.61	18.456
272.29	216.03	18.370
272.62	216.45	18.392
272.82	216.87	18.405
273.62	217.29	18.459
274.78	217.71	18.537
275.54	218.13	18.589
275.55	218.55	18.589
276.53	218.97	18.655
277.36	219.38	18.711
277.97	219.80	18.753
278.41	220.22	18.782
279.23	220.64	18.838
279.89	221.06	18.882
279.74	221.48	18.872
279.58	221.90	18.861
279.67	222.32	18.867
280.31	222.73	18.910
281.85	223.15	19.014
282.28	223.57	19.043
282.49	223.99	19.058
283.63	224.41	19.134
284.42	224.83	19.187
285.04	225.25	19.230
285.62	225.67	19.269
286.81	226.09	19.349
287.57	226.51	19.400
288.38	226.93	19.455
289.07	227.34	19.501
289.71	227.76	19.545
289.70	228.18	19.544
290.67	228.60	19.609
290.96	229.02	19.629
292.28	229.44	19.718
293.53	229.86	19.802
294.44	230.28	19.864
295.25	230.70	19.918
295.54	231.11	19.938
296.11	231.53	19.976
296.82	231.95	20.025
297.70	232.37	20.084
297.53	232.79	20.072
298.71	233.21	20.152
298.81	233.63	20.158
299.20	234.05	20.185
299.87	234.47	20.230
299.99	234.89	20.238
301.05	235.31	20.310
301.49	235.73	20.339
302.45	236.15	20.404
303.69	236.57	20.488
303.94	236.98	20.504
304.50	237.40	20.542
305.06	237.82	20.580
305.42	238.24	20.604
305.56	238.66	20.614
307.08	239.08	20.717
306.60	239.50	20.684
306.76	239.92	20.695
307.09	240.34	20.717
307.32	240.76	20.733
307.62	241.17	20.753
308.07	241.59	20.783
308.52	242.01	20.814
308.98	242.43	20.844
309.45	242.85	20.876
309.44	243.27	20.875
309.86	243.69	20.904
309.84	244.11	20.903
310.43	244.52	20.942
311.56	244.94	21.019
311.81	245.36	21.036
311.89	245.78	21.041
312.89	246.20	21.108
313.60	246.62	21.156
314.02	247.04	21.185
314.26	247.46	21.201
315.69	247.88	21.298
315.66	248.30	21.295
316.28	248.72	21.337
316.59	249.14	21.358
316.97	249.55	21.384
318.77	249.97	21.505
318.88	250.39	21.512
319.46	250.81	21.551
319.51	251.23	21.555
319.85	251.65	21.578
320.30	252.07	21.608
321.07	252.49	21.660
320.70	252.91	21.636
320.88	253.33	21.648
321.02	253.74	21.657
322.46	254.16	21.754
323.04	254.58	21.793
323.60	255.00	21.831
324.15	255.42	21.868
322.94	255.84	21.786
323.33	256.26	21.812
323.00	256.68	21.790
322.84	257.10	21.779
323.83	257.52	21.847
323.89	257.93	21.851
323.94	258.35	21.854
323.53	258.77	21.826
324.50	259.19	21.892
325.33	259.61	21.947
326.29	260.03	22.013
327.09	260.45	22.066
327.50	260.87	22.094
327.92	261.29	22.122
328.43	261.71	22.157
328.03	262.13	22.130
329.08	262.55	22.200
329.06	262.96	22.200
329.89	263.38	22.255
330.56	263.80	22.300
331.20	264.22	22.343
331.88	264.64	22.390
332.78	265.06	22.450
332.37	265.48	22.423
333.24	265.90	22.481
334.17	266.32	22.544
334.50	266.74	22.566
335.22	267.16	22.615
336.18	267.57	22.679
337.23	267.99	22.750
337.08	268.41	22.741
337.87	268.83	22.794
338.39	269.25	22.829
339.00	269.67	22.870
339.62	270.09	22.912
340.24	270.51	22.953
340.85	270.93	22.995
341.48	271.35	23.037
341.96	271.77	23.069
342.36	272.18	23.097
341.64	272.60	23.048
342.48	273.02	23.105
343.15	273.44	23.150
343.51	273.86	23.174
344.18	274.28	23.220
344.96	274.70	23.272
345.35	275.12	23.298
345.54	275.54	23.311
345.72	275.95	23.323
345.75	276.37	23.325
346.12	276.79	23.350
346.49	277.21	23.375
346.86	277.63	23.400
347.21	278.05	23.424
347.53	278.47	23.445
348.27	278.89	23.495
348.69	279.31	23.524
349.37	279.73	23.570
349.94	280.14	23.608
350.01	280.56	23.613
350.07	280.98	23.617
349.67	281.40	23.590
350.13	281.82	23.620
351.04	282.24	23.682
352.15	282.66	23.757
352.91	283.08	23.809
353.65	283.50	23.858
354.37	283.91	23.907
354.14	284.33	23.891
354.41	284.76	23.909
354.64	285.18	23.925
354.86	285.59	23.940
356.18	286.01	24.029
356.74	286.43	24.067
357.08	286.85	24.089
357.20	287.27	24.097
357.36	287.69	24.109
358.33	288.11	24.174
358.52	288.53	24.187
358.81	288.95	24.207
359.73	289.36	24.268
359.96	289.78	24.284
359.98	290.20	24.285
359.93	290.62	24.282
360.37	291.04	24.311
361.14	291.46	24.363
361.63	291.88	24.396
361.03	292.30	24.356
361.69	292.71	24.401
361.83	293.13	24.410
362.37	293.55	24.447
363.12	293.97	24.497
364.07	294.39	24.561
363.46	294.81	24.520
363.86	295.23	24.547
363.78	295.65	24.542
363.83	296.07	24.545
363.99	296.49	24.556
364.21	296.91	24.570
364.86	297.33	24.615
365.33	297.74	24.646
366.29	298.16	24.711
366.87	298.58	24.750
366.80	299.00	24.746
367.24	299.42	24.775
367.68	299.84	24.805
368.01	300.26	24.827
368.08	300.68	24.832
368.29	301.10	24.846
368.69	301.52	24.873
369.31	301.93	24.914
369.65	302.35	24.938
370.08	302.77	24.967
370.50	303.19	24.995
370.81	303.61	25.016
371.43	304.03	25.058
371.74	304.45	25.078
371.71	304.87	25.077
372.82	305.29	25.151
372.57	305.71	25.134
372.86	306.13	25.154
373.29	306.54	25.183
374.27	306.96	25.249
374.79	307.38	25.284
374.84	307.80	25.288
375.24	308.22	25.315
376.02	308.64	25.367
376.31	309.06	25.387
376.65	309.48	25.410
376.62	309.90	25.408
377.66	310.32	25.478
378.48	310.74	25.533
379.04	311.16	25.571
379.45	311.57	25.599
378.72	311.99	25.549
379.87	312.41	25.627
379.90	312.83	25.629
380.80	313.25	25.690
381.36	313.67	25.728
382.62	314.09	25.813
382.57	314.51	25.809
383.19	314.92	25.851
383.63	315.34	25.881
384.16	315.76	25.917
384.64	316.18	25.949
385.10	316.60	25.980
385.31	317.02	25.994
386.06	317.44	26.044
387.06	317.86	26.112
387.04	318.28	26.111
387.82	318.70	26.163
388.58	319.11	26.215
389.99	319.53	26.309
389.41	319.95	26.270
390.45	320.37	26.341
391.29	320.79	26.397
391.83	321.21	26.434
392.73	321.63	26.495
392.90	322.05	26.506
393.15	322.47	26.523
393.24	322.89	26.529
393.07	323.31	26.518
393.46	323.73	26.544
393.82	324.14	26.568
394.19	324.56	26.593
394.84	324.98	26.637
394.51	325.40	26.615
394.51	325.82	26.615
394.74	326.24	26.630
394.90	326.66	26.641
394.36	327.08	26.605
394.30	327.50	26.601
394.30	327.92	26.601
395.61	328.34	26.689
395.80	328.75	26.702
396.32	329.17	26.737
397.10	329.59	26.789
397.88	330.01	26.842
399.35	330.43	26.941
400.24	330.85	27.001
401.61	331.27	27.094
402.29	331.69	27.139
403.26	332.11	27.205
404.21	332.53	27.269
405.13	332.95	27.331
406.83	333.36	27.446
